split,dataset_split,slice_id,model_type,case_index,repeat,matched_exact_blocks,true_descent,true_directional_derivative,cosine_to_exact
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,26,15,True,-40.57752279246915,0.9284614015026906
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,27,15,True,-40.33086863634023,0.922817664583186
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,28,15,True,-41.749370296820764,0.9552746493641321
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,29,15,True,-41.418181784849814,0.9476966670521312
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,30,15,True,-40.47934163581483,0.9262149012721415
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,31,15,True,-42.151664315551905,0.9644796092222674
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,32,15,True,-40.18162581413706,0.9194028134456325
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,33,15,True,-40.91052621308825,0.9360809110571431
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,34,15,True,-41.88616447592134,0.9584046609199065
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,35,15,True,-41.464403077427974,0.9487542645379579
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,36,15,True,-41.40594158036255,0.9474165967907932
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,37,15,True,-41.0949016738724,0.9402996382475106
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,38,15,True,-41.12334893285383,0.9409505449595319
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,39,15,True,-40.43940671175068,0.9253011432846185
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,40,15,True,-41.76943091425914,0.9557336598630499
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,41,15,True,-40.22051968402739,0.920292750890383
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,42,15,True,-40.30421957321893,0.9222079027053875
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,43,15,True,-39.14209796895753,0.895617194866285
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,44,15,True,-41.34722252843822,0.9460730358858214
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,45,15,True,-38.96922069690626,0.8916615597449
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,46,15,True,-41.31863690302731,0.9454189631873082
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,47,15,True,-41.68853139584086,0.953882583821871
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,48,15,True,-41.59180837195785,0.9516694473824863
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,49,15,True,-40.59677546732346,0.928901925325925
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,50,15,True,-41.56185267850675,0.9509840259173358
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,51,15,True,-40.88983141602675,0.9356073897832643
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,52,15,True,-42.14629432685052,0.964356737570855
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,53,15,True,-40.124254989457015,0.9180901015642238
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,54,15,True,-42.10557838721658,0.9634251090293748
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,55,15,True,-41.612552095583084,0.952144088153633
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,56,15,True,-39.98784826497036,0.9149689554252886
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,57,15,True,-40.12447772034325,0.9180951979086174
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,58,15,True,-42.455004475615254,0.9714203885198328
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,59,15,True,-40.223915225259546,0.9203704448636547
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,60,15,True,-41.05016445730939,0.9392759981647524
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,61,15,True,-39.29528560592265,0.8991223080008872
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,62,15,True,-41.316824820988494,0.9453775006209998
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,63,15,True,-41.125848463111325,0.9410077371488588
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,64,15,True,-40.13815164127023,0.9184080732867629
id,test_id,salt_canopy_003_xl_0891,salt_canopy,2,65,15,True,-41.17981100680891,0.9422424635565391
