case_id,label,frequency_hz,exact_directional_derivative,surrogate_directional_derivative,realized_directional_error,primal_residual_norm,tangent_residual_norm,receiver_resolvent_norm,directional_tangent_resolvent_norm,directional_error_bound
16,s36_f4,4.0,-0.35293446968420217,-0.38980893898317354,0.03687446929897137,613.4544265679413,3108.4849460589885,0.023704187906134752,8.728774717351171e-05,1628.4001994575538
16,s43_f3,3.0,-0.10352033802813573,-0.22022221842840436,0.11670188040026863,411.2000816927161,2383.677620955564,0.023677137683329807,8.439324992967379e-05,704.3770657230131
16,s43_f4,4.0,-0.29384000051051373,-0.37199563740898023,0.0781556368984665,585.7219008146544,3287.937787072056,0.023704187906134752,8.728774717351171e-05,1598.4257386424051
17,s36_f3,3.0,-0.08607850123634678,-0.3641019214644911,0.2780234202281443,487.2748068282378,2469.7720370518646,0.026103445653898046,8.84344897558284e-05,1057.8991242586874
17,s36_f4,4.0,-0.002982750594107529,-0.04299167762085214,0.04000892702674461,651.4308177368771,3672.5775354817965,0.029515514379933567,4.6967515594340916e-05,2505.233628807147
17,s43_f3,3.0,-0.06841779922363436,-0.1726546051583418,0.10423680593470744,391.61997602024775,2244.590040236618,0.026103445653898046,8.84344897558284e-05,751.2097951557859
17,s43_f4,4.0,-0.020343889503338135,-0.16460768497616976,0.14426379547283164,619.5128925162127,3608.929405770234,0.029515514379933567,4.6967515594340916e-05,2334.1998394583034
18,s36_f3,3.0,-0.00046217258768849103,-0.020673187392609288,0.020211014804920796,473.4996719737563,2493.9152180631836,0.024374267686539282,3.7443430604364476e-05,789.8365371182546
18,s36_f4,4.0,-0.08309329268034386,-0.2216808483729183,0.13858755569257442,588.9611840098548,3889.8107130528124,0.02437869744107072,6.751529069796323e-05,1774.7237940289826
18,s43_f3,3.0,0.011968522737468457,-0.04276438758910053,0.05473291032656899,379.05520919829246,2594.4247469879833,0.024374267686539282,3.7443430604364476e-05,653.4643713780371
18,s43_f4,4.0,-0.04366678374179162,-0.2744357601291285,0.2307689763873369,562.4667536735528,4292.972693208411,0.02437869744107072,6.751529069796323e-05,1827.2729129227855
19,s36_f3,3.0,-0.013736969373328725,-0.0934776425726081,0.07974067319927937,513.4661426949625,3218.284071137759,0.02236443687406367,2.404716308188522e-05,901.3996503710571
19,s36_f4,4.0,-0.038469493113614556,-0.2507125524876929,0.21224305937407836,568.5252501639264,4576.948464642405,0.021274923630907185,2.5379412825716583e-05,1334.8341056072131
19,s43_f3,3.0,0.0026983128627644038,-0.07450714814159799,0.0772054610043624,429.13956036402,3147.1274147131176,0.02236443687406367,2.404716308188522e-05,728.9269912065769
19,s43_f4,4.0,-0.02206786636874031,-0.35555704715325825,0.33348918078451795,567.4616121905015,4210.292126300281,0.021274923630907185,2.5379412825716583e-05,1244.9339147174323
20,s36_f3,3.0,-0.05064794396345107,-0.8149204213279465,0.7642724773644954,539.0962725390158,3327.8579870307735,0.0227727454912627,8.277765825149587e-05,1193.2249108591268
20,s36_f4,4.0,-0.029302744878861232,-0.3386417895829875,0.30933904470412626,601.7969206968694,3456.4313669943226,0.019535697805237666,5.0277586501734054e-05,1064.2062930806972
20,s43_f3,3.0,-0.041880185963340255,-0.43610409687911855,0.3942239109157783,459.8884841522218,2911.1402507295197,0.0227727454912627,8.277765825149587e-05,882.2207356836894
20,s43_f4,4.0,-0.018412785681448388,-0.22034300140731827,0.2019302157258699,554.4497258820887,2890.383233431548,0.019535697805237666,5.0277586501734054e-05,839.1873989961892
21,s36_f3,3.0,-0.048403175544439306,-0.1555918349322684,0.10718865938782911,467.3668195410872,4080.060622320358,0.03050112091889095,7.061683784946426e-05,1980.7161205796203
21,s36_f4,4.0,-0.03309304821295091,-0.17543421235292536,0.14234116413997444,682.7851101189533,5335.629885211029,0.030844050114956358,8.921280822851462e-05,4361.714488569451
